NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
83,60 Hari Bisa Menguasai Kata dalam Al-Qur'an (Panduan Belajar Bahasa Arab Metode Al-Huda),6359312124,492.7,978-623-6083-00-0,492.7 Hus H,Indonesia,"Ust. Ahmad Huseno, S.S.",,Al-Afgani Hidayat,,,Indonesia,DKI Jakarta,Jakarta,PT. Rene Turos Indonesia,,Arabic,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
84,60 Tahun Joko Pinurbo: Sepotong Hati di Angkringan (Kumpulan Puisi),4713317123,811,978-623-293-705-5,811 Pin S,Indonesia,Joko Pinurbo,,,,,Indonesia,DI Yogyakarta,Yogyakarta,DIVA Press,2022,Indonesian Poetry,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
85,68 Tahun Jejak Langkah Bank BTN,7767321124,923.2,978-602-1265-30-7,923.2 Her T,Indonesia,Towil Heryoto,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Gagas Bisnis,2018,Person in Politics Biography,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Biografi
86,75++ Proyek Desain,4256312122,6.66,978-623-00-3064-2,006.66 Jep P,Indonesia,Mohammad Jeprie,,eEp (as.pratisto@gmail.com),,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,Programming for Computer Graphics ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
87,75 Tahun PGRI Mengabdi Negeri,8744329124,371.1409598,978-602-383-085-5,371.1409598 Mus 7,Indonesia,,,Jejen Musfah,,1,Indonesia,DKI Jakarta,Jakarta,Persatuan Guru Republik Indonesia PGRI ,2021,Organization Of Teacher Force In Indonesia,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Sejarah
88,775VM800 Motherboard Quick Installation Guide,8277424124,4.0288,-,004.0288 Qui,Indonesia,,,,,,,,,ASRock,2005,Computer Maintenance,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Panduan (How To)
89,7 Aplikasi Digital Marketing Terbaik Google,713632124,659.144,978-623-00-3110-6,659.144 Hel A,Indonesia,Jefferly Helianthusonfri,,,,,Indonesia,DKI Jakarta,Jakarta,Elex Media Komputindo,2022,Advertising in Digital Media,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Digital
90,7 Cara Agar Rezeki Semakin Bertambah dan Barakah!,8038333124,297.41,,297.41 Azz C,Indonesia,Akhmad Muhaimin Azzet,,Agust CH,,,Indonesia,DI Yogyakarta,Yogyakarta,DIVA Press,2010,Ibadah,Surat pertemuan koleksi & buku,,26 Oktober 2022,0,Buku Baca
91,"7 Hari Belajar Fotografi : Dengan Langkah Mudah, Praktis, dan Lengkap",9876312124,770,978-602-02-7138-5,770 Tji H,Indonesia,Henrry Tjiang,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2015,Photography and Photographs,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
92,7 HARI BELAJAR LIGHTING DAN STYLING FOOD PHOTOGRAPHY ,5718312124,770,978-602-04-7864-7,770 Tji H,Indonesia,Herry Tjiang,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2018,,Surat Permohonan Buku & Koleksi ,,26 Oktober 2022,0,Buku Belajar
93,7 Jam Belajar Interaktif Photoshop CS3 ,74773241224,6.62,978-979-1398-10-7,006.62 Jay P,Indonesia,Jayan,,,,,Indonesia,Sumatera Selatan,Palembang,Penerbit Maxikom ,2007,Hardware For Computer-Graphics,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Panduan (How To)
94,7 Materi Pemrograman Web untuk Pemula,9046312124,6.76,978-623-00-3366-7,006.76 Abd M,Indonesia,Rohi Abdulloh,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,Internet Programming,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
95,81 Trik Tersembunyi Visual Basic 2005,8273333124,5.118,978-979-1398-77-0,005.118 Sad T,Indonesia,Muhammad Sadeli,,,,,Inggris,Sumatera Selatan,Palembang,Penerbit Maxikom ,2009,Visual Programming ,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi,26 Oktober 2022,0,Buku Baca
96,85 tahun Taufik Abdullah (Perspektif Intelektual dan Pandangan Publik),7103321124,920.71,978-623-321-012-6,920.71 Tah,Indonesia,,,"Susanto Zuhdi, dkk",,,Indonesia,DKI Jakarta,Jakarta,Yayasan Obor Indonesia,2020,Men Biography,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Biografi
97,8 Jurus Editing Foto dengan Photoshop CC 2020,6558312124,6.66,978-623-00-2091-9,006.66 Ent J,Indonesia,Jubilee Enterprise,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Programming for Computer Graphics,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
98,90 Cara Mengubah Kebiasaan ,5442340124,158.1,978-623-7661-70-2,158.1 Agh C,Indonesia,Aba Mehmed Agha,,Zhivana A.U.,,,Indonesia,DI Yogyakarta,Sleman,Checklist,2022,Personal Improvement & Analysis,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Psikologi
99,99 Kekuatan Berpikir Positif,475324122,155.25,978-623-7182-32-0,155.25 Naa K,Indonesia,Aning Naafiah,,Nina Artanti R.,,,Indonesia,DI Yogyakarta,Yogyakarta,Mutiara Media,2022,Character Development ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
100,"99 Strategi Branding di Era 4.0: Kupas Tuntas Metode Jitu Membangun Citra Baik, Meyakinkan Pelanggan, dan Membangun Kesadaran Merek",4846332124,658.82,978-623-244-752-3,658.82 Ain S,Indonesia,Moh. Ainurrofiqin,,Fira Husaini,,,Indonesia,DI Yogyakarta,Yogyakarta,Quardrant,2021,Sales Promotion,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Ekonomi
101,9 Langkah menguasai Ms. PowerPoint 2000,7253312124,5.5,979-95995-8-X,005.5 Tut L,Indonesia,Tutang,,,Komputer,,Indonesia,DKI Jakarta,Jakarta,Medikom Pustaka Mandiri,2000,General Purpose Application Programs,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
102,9 Rahasia Membangun Kekayaan Melalui Properti di Zaman Digital,1170324122,339.2,978-602-0484-63-1,339.2 Wid R,Indonesia,Adi Putera Widjaja,,Bambang Trim,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2018,Distribution of Income & Wealth ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
103,Aa Gym: A Spiritual Marketer,7588333124,650.1,979-99065-4-7,650.1 Kar A,Indonesia,Hermawan Kartajaya,,,,,Indonesia,DKI Jakarta,Jakarta Selatan,MarkPlus&Co,2006,Personal Success in Business,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
104,"A B Diet Sehat Golongan Darah, Diet Tanpa Rasa Lapar",2202324122,613.2,978-623-216-500-7,613.2 Whi d,Indonesia,Peter J. D'Adamo,Cucunawangsih,Marina Ariyani,,,Indonesia,DKI Jakarta,Jakarta,Kelompok Gramendia,2002,Dietetics,Surat Permohonan Buku dan Koleksi,,26-Sep-22,0,Panduan (How To)
105,A Brief Cultural History of Indonesian Cinema,9249416124,777,978-979-1274-64-7,777 Bri,Inggris,,,,,,Indonesia,DKI Jakarta,Jakarta,Kementrian Pendidikan dan Kebudayaan,2012,Cinematography & Videography,Surat Permohonan Buku dan Koleksi,,28-Nov-22,0,Dokumentasi
106,A Case of Love,6277325124,811,978-602-220-290-5,811 Quo A,Indonesia,Quotesfangirl,,,,,Indonesia,DKI Jakarta,Jakarta,PT. Bukune Kreatif Cipta,2018,Indonesia Poetry,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Komik
107,Accounting,6316412124,657.044,9.78E+12,657.044 Hog A,Inggris,John Hogget ,,,,,Amerika Serikat,New York,New York,"John Wiley & Sons Australia, Ltd",1983,Intermediate Accounting ,Surat Permohonan Buku dan Koleksi ,Surat permohonan buku dan koleksi,26 Oktober 2022,0,Buku Belajar
108,Accounting 7e,6710412124,657.092,978-0-470-81675-2,657.092 Hog A,Inggris,John Hoggett,,Janette Whelan,,7,Amerika Serikat,,,"John Wiley & Sons Australia, Ltd",2009,Accountant,Surat Permohonan Buku & Koleksi,,18 Oktober 2024,0,Buku Belajar
109,Aceh: Kisah Datang dan Terusirnya Belanda dan Jejak yang Ditinggalkan,4327329123,959.802,978-623-321-121-5,959.802 Sto A,Indonesia,Anton Stolwijk,Susi Moeimam & Nurhayu Santoso,,,,Indonesia,DKI Jakarta,Jakarta,Yayasan Obor Indonesia,2022,History of Indonesia at Dutch Period,Surat Permohonan Buku & Koleksi,,24 Oktober 2022,0,Sejarah
110,Achieving Relaxation ,7448433124,613.792,1-85534-383-5,613.792 Ach A,Inggris,,,,,,Skotlandia,New Lanark,David Dale House,Geddes & Grosset Ltd.,1998,Relaxation,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Baca
111,Action Guru : jurnal Penelitian dan Pengembangan Pendidikan ,788636122,370.5,2088-1436,370.5 Act ,Indonesia,,,,,,Indonesia,Jawa Timur,Purbalingga,Forum Ilmiah Guru Kabupaten Purbalingga ,2021,Serial publications of Education,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi,26 Oktober 2022,0,Karya Ilmiah
112,Ada Apa Dengan China,8349333124,320.951,978-623-7284-10-9,320.951 BAS A,Indonesia,Novi Basuki,,Aprilia Kumala,,,Indonesia,DI Yogyakarta,Yogyakarta,BUKU MOJOK,2019,Political Situation in Specific Localities,Surat permohonan buku & koleksi,,10-Nov-22,0,Buku Baca
113,Adaptasi Sistem Pemilu Paralel bagi Indonesia,1054328122,324.6,978-602-473-594-4,324.6 Nur A,Indonesia,Moch. Nurhasim,,Moch. Nurhasim,,,Indonesia,Jawa Timur,Surabaya,Airlangga University Press,2020,Election System,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Politik
114,Ada Rindu di Balik Tanya,4802320124,813,978-602-1036-46-1,813 Aul A,Indonesia,Sarah Aulia,,Intan Fardillah,,,Indonesia,DKI Jakarta,Jakarta Selatan,Transmedia Pustaka,2021,Indonesian Fiction,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Novel
115,Ada Surga di Dekatmu,6825333124,297,978-602-6358-09-7,297 Sut A,Indonesia,Ust. Saiful Hadi El- Sutha,,Zainul Muhlisin,,,Indonesia,DKI Jakarta,Jakarta Selatan,WahyuQolbu,2018,Akhlak,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
116,ADAT DAN HUKUM ADAT: pada komunitas adat di kabupaten Kutai Barat provinsi Kalimantan Timur,9292318126,340.51,978-623-7526-08-7,340.51 Joh A ,Indonesia,Poltakl Johansen,,Asep Ruhimat & Izzudin Irsam Mujib,,,Indonesia,Kalimantan Barat,Pontianak,CV Media Jaya Abadi,2019,Law of Traditional Societies,Surat Permohonan Buku dan Koleksi,,28-Nov-22,0,Budaya
117,Administrasi Keuangan Negara,1372312122,351,978-602-449-469-8,351 Nov A,Indonesia,Noviyanti,,,,,Indonesia,Jawa Timur,Surabaya,Unesa University Press,2019,Public Administration,Surat Permohonan Buku dan Koleksi,,22-Sep-22,0,Buku Belajar
118,Administrasi Pendidikan: dasar teoritis untuk praktek profesional,7201333124,371.2,970-404-110-6,371.2 Sut A,Indonesia,"Prof. DR. Oteng Sutisna, M.Sc. Ed",,,,,Indonesia,Jawa Barat,Bandung,Angkasa,1989,School Administration,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
119,ADMINISTRASI SEBAGAI KEBUTUHAN MASYARAKAT MODERN,7518333124,351,BA - 378 - A - 1 - 88,351 Wid A,Indonesia,Dra. Ninik Widiyanti,,,,,Indonesia,DKI Jakarta,Jakarta,PT BINA AKSARA,1988,Public Administration,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
120,Administrasi Sekolah & Manajemen Kelas: Strategi Membangun Disiplin Kelas dan Suasana Edukatif di Sekolah,4967333124,371.2,978-979-076-023-3,371.2 Dan A,Indonesia,Prof. Dr. H. Sudarwan Danim,,,,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2013,School Administration,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
121,Administrasi & Supervisi Pendidikan ,4146312122,371.2,978-979-730-787-5,371.2 Her A,Indonesia,"Drs. Herabudin, M.Pd.",,"Drs. Beni Ahmad Saebani, M.Si.",,,Indonesia,Jawa Barat,Bandung,PUSTAKA SETIA,2009,School Administration ,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
122,Adobe After Effect Komplet,9100312124,6.66,978-602-04-5947-9,006.66 Ent A,Indonesia,Jubilee Enterprise,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2018,Programming for Computer Graphics,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
123,Adobe Photoshop 7.0,290312122,6.66,979-731-152-X,006.66 Ado,Indonesia,,,,,2,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2004,Pemograman untuk komputer grafis,Surat permohonan buku dan koleksi,,21-Sep-22,0,Buku Belajar
124,Adobe Photoshop Komplet (Update Version) ,8925312125,370,978-623-00-3458-9,370 ENT A,Indonesia,Jubilee Enterprise,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,Education,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
125,Adonis Seorang Revolusioner Syair Arab: Kumpulan Wawancara dengan Adonis,5074317124,172.1,978-623-305-286-3,172.1 Fut A,Indonesia,Mirza Syauqi Futaqi,,Daruz Armedian,,,Indonesia,DI Yogyakarta,Bantul,BASABASI,2022,Relation of Individuals to The State,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Antologi
126,Adopsi: Suatu Tinjauan dari Tiga Sistem Hukum,6697333124,362.734,979-8767-13-6,346.0178 Zai A,Indonesia,"Muderis Zaini, S.H.",,,,,Indonesia,DKI Jakarta,Jakarta,Sinar Grafika,2006,Adoption,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
127,ADORABLE MINI DOLLS,7970423124,688.72,0-87040-761-9,,Inggris,,,,,,JEPANG,,,ONDORISHA PUBLISHERS,1988,toys product,Surat pertemuan koleksi & buku,,26 Oktober 2022,0,Cerita Bergambar
128,Adrift: Tragedi dan Kisah Nyata Satu-Satunya Orang yang Selamat dari Bekunya Atlantik,6911333124,910.41,978-623-00-2026-1,910.41 Mur A,Indonesia,Brian Murphy,Riza Hardiani,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Trip Around the World,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
129,Advertising and Promoting,7387433124,659.1,9.78E+12,659.1,Inggris,Dr. George E. Belch,,Jorg Dietzel,,,Amerika Serikat,,New York,The Mc Graw Hill Companies,2012,Advetising,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Buku Baca
130,Advocate of Dialogue,6137433124,201.5,0-9704370-1-3,201.5 Gul A,Inggris,Fethullah Gulen,Ali Unal,,,,Amerika Serikat,Virginia,Fairfax,The Fountain,2000,Interreligious Relations,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
131,Affluenza ,7802433124,152.4,978-0-09-190011-3,152.4 Jam A,Inggris,Oliver James,,,,,Inggris,,,Vermilion,2007,Emotions & Feeling,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
132,AFTERLIFE: An Investigation of the Evidence for Life after Death,9919433124,128.5,0 245-54245-0,128.5 Wil A,Inggris,Colin Wilson,,,,,Inggris,,,HARRAP LIMITED,1985,Human Death,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
133,Agama Buddha,4984333124,294.3,978-602-8606-59-2,294.3 Tan A,Indonesia,M. Ikhsan Tanggok,,,,,Indonesia,DKI Jakarta,Jakarta,Lembaga Penelitian UIN Syarif Hidayatullah Jakarta,2009,Buddhism,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
134,"Agama Jawa Ajaran, Amalan, dan Asal-usul Kejawen",5535331124,181.16,978-623-7586-87-6,181.16/End/A,Indonesia,"Prof. Dr. Suwandi Endraswara, M.Hum.",,"Prof.Dr. Suwandi Endraswara, M.Hum., dkk ",,,Indonesia,DI Yogyakarta,Yogyakarta,NARASI,2015,philosophy of indonesia,surat permohonan buku dan koleksi ,,26 Oktober 2022,0,Pengetahuan Umum
135,Agar Dicintai Allah,424312122,126,978-623-357-033-6,126 Jan A,Indonesia,Zakiah Nur Jannah,,,,,Indonesia,,,C-Klik Media,2022,The Self,Permohonan Buku & Koleksi,,22 Agustus 2022,0,Buku Belajar
136,Agar Jatuh Cinta pada Al-Qur'an,9097333124,297.27,978-602-04-7768-8,297.27 Mas A,Indonesia,Ahmad Masrul,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2018,Islam & Social Science,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
137,Ageing Without Children: European and Asian Perspectives,7663433124,305.26,1-84545-041-8,305.26 Kre A,Inggris,Philip Kreager,,Philip Kreager & Elisabeth Schroder-Butterfill,,,Amerika Serikat,New York,Oxford,Berghahn Books,2004,People in Late Adulthood,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
138,Agenda Mendesak Bangsa : Selamatkan Indonesia!,6437333124,320,978-979-17617-1-0,320 Rai A,Indonesia,Mohammad Amien Rais,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Penerbit PPSK Press,2008,Political & Goverment Science,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
139,A Girl Who Loves a Ghost,5776320124,813,978-602-70105-4-3,813 Che A,Indonesia,Alexia Chen,,Shalahuddin Gh,,,Indonesia,Tangerang selatan,Ciputat,JAVANICA,2014,Indonesian Fiction ,surat permohonan buku dan koleksi ,surat permohonan buku dan koleksi ,26 Oktober 2022,0,Novel
140,A Guide Book to Grow Your Mindset,5939326124,155.25,978-623-5307-03-9,155.25 Tar A,Indonesia,Diana Tara,,Nimash,,,Indonesia,DKI Jakarta,Jakarta Selatan,Brilliant ,2022,Character Development,Surat Permohonan Buku dan Koleksi ,,26 Oktober 2024,0,Motivasi
141,A Guide Book to Heal Your Soul,5436333124,150,978-623-5307-01-5,150 Uta A,Indonesia,D. Tri Utami,,Nimash,,,Indonesia,DI Yogyakarta,Sleman,Brilliant ,2022,Psychology ,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
142,A Guidebook to Sleep,4315333122,154.6,978-602-586-97-0,154.6 Uta A,Indonesia,,,Nimash,,,Indonesia,,,Brilliant ,2022,Sleep Phenomena,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
143,A Guide Book to Sleep,6447340124,154.6,978-602-5861-97-0,154.6 Uta A,Indonesia,D. Tri Utami,,Nimash,,,Indonesia,,,Brilliant ,2022,Sleep Phenomena,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Psikologi
144,A Guide Book to the Sulawesi Ethnologic Collection National Museum,7203429124,915.984,,915.984 Gui,Inggris,,,,,2,Indonesia,DKI Jakarta,Jakarta,Departemen Pendidikan dan Kebudayaan,2000,Geography of Celebes,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Sejarah
145,A Healing Corner,5050326124,126,978-623-7928-09-6,126 Ind A,Indonesia,Army Help Center Indonesia,,Ilona Alle,,,Indonesia,DKI Jakarta,Jakarta Selatan,IKON; Imprint Penerbit Serambi,2022,The Self,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Motivasi
146,AHHH MANTAP! 50 Resep Jajanan HITS & VIRAL,2689334122,641.5,979-757-698-1,641.5 Fer A,Indonesia,Randi Ferdiansyah ,,Raditantri S.,,,Indonesia,DKI Jakarta,Jakarta Selatan,PT Kawan Pustaka,2022,Cooking,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Resep
147,"AHLI BERBICARA Jurus Ampuh Menjadi Pembicara Andal yang Selalu Didengar, Menarik Minat, dan Tidak Membosankan di Segala Situasi",5969324124,808,978-623-244-118-7,808 Mar A,Indonesia,Suhada Martakim,,Mus Pratt,,,Indonesia,DI Yogyakarta,Yogyakarta,KOMUNIKA,2020,Communication,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Panduan (How To)
148,AHMAD SOEBARDJO DJOJOADISURYO: Sang Pemimpin Kemerdekaan,9775323124,959.8022,978-602-17286-5-9,959.8022 Mus A,Indonesia,,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Museum Perumusan Naskah Proklamasi,2022,Period of Republic,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Cerita Bergambar
149,Aib dan Nasib,9831320124,89.221,978-602-0788-00-5,89.221/MIN/A,Indonesia,MINANTO,,,,1,Indonesia,Tangerang selatan,Serpong,,2020,,,,28-Nov-22,0,Novel
150,Air Defense: Antara Kebutuhan dan Tuntutan,5175333124,623.6,978-602-74999-2-8,623.6 Sup A,Indonesia,Agus Supriatna,,Hariyo Poernomo,,,Indonesia,Jawa Barat,Bogor,Universitas Pertahanan Indonesia,2017,Military Transportation Technology,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
151,Air kata kata,6017317124,811,978-602-06-2778-6,811 Sin A,Indonesia,Sindhunata,,,1,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2012,indonesian poetry,,,26 Oktober 2022,0,Antologi
152,Aisyah; Kekasih Nabi Dunia Akhirat,5785338124,297.642,978-623-00-2481-8,297.642 Bad A,Indonesia,Ahmad Salim Baduwilan,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,PT Elex Media Komputindo,2021,Wives,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Autobiografi
153,Ajaran-Ajaran Para Founding Father ,6367329122,920.0598,978-602-7968-89-9,920.0598 Pra A,Indonesia,Johan Prasetya,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Palapa,2014,Indonesian Generic Couection of Biography,permohonan buku & koleksi,,26-Nov-22,0,Sejarah
154,Ajaran Buddha Secara Ringkas : Pedoman Pokok Ajaran Buddha,9120312124,294.3,,294.3 Mah A,Indonesia,Narada Mahathera,Viriyo Sukaria,Handaka Vijananda,,,,,,Ehipassiko Foundation,,Buddism,Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Belajar
155,Ajaran Moral Dalam Serat Panutan ,8032333124,91,978-979-8971-93-8,091 Mum A,Indonesia,Titi Mumfangati,,,,,Indonesia,Jawa Tengah,Yogyakarta,BPNB (Balai Pelestarian Nilai Budaya),2019,Manuscript,Surat pertemuan koleksi & buku,,14-Nov-22,0,Buku Baca
156,Ajudan Setia dan Pemberani,677326122,174,978-623-224-580-8,174 Hid A,Indonesia,Raden Lip Hidayat,,Gatot Sambas Junaedi,,,Indonesia,,,PT Lontar Digital Asia,2021,Occupational Ethics,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Motivasi
157,Akar,5448320124,813,9.79E+12,813 Les A,Indonesia,Dee Lestari,,,,,Indonesia,DI Yogyakarta,Sleman,PT Bentang Pustaka,2012,,,,,0,Novel
158,AKHLAK UNTUK NEGERI,4617326123,155.25,978-602-50985-5-0,155.25 Tho A,Indonesia,Erick Thohir,,Ida S. Widayanti & Dwitya Agustina,,,Indonesia,DKI Jakarta,Jakarta Selatan,ARGA TILANTA,2020,Character Development,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Motivasi
159,Akses Internet Via Ponsel,7723312124,4.678,979-731-718-8,4.678,Indonesia,Rina Fiati,,,,,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2005,Internet,Surat Pertemuan Koleksi & Buku,,22-Sep-22,0,Buku Belajar
160,AKSES PERKREDITAN DAB RAGAM FASILITAS KREDIT ,6470333124,332.7,978-979-007-895-6,332.7 Kos A ,Indonesia,Prof. Johannes Ibrahim Kosasih ,,,,,Indonesia,DKI Jakarta,Jakarta,Sinar Grafika,2019,Credit,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
161,Akses Perkreditan dan Ragam Fasilitas Kredit,4307333122,332.7,978-979-007-895-6,332.7 Kos A,Indonesia,"Prof. Dr. Johanes Ibrahim, S.H., M.Hum",,,,,Indonesia,DKI Jakarta,Jakarta Timur,Sinar Grafika,2019,Credit ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
162,AKTIVITAS-AKTIVITAS SENI KREATIF,9140333125,750,978-979-062-293-7,750 May A,Indonesia,MARY MAYESKY,Agustina Reni Eta Sitepoe,,,1,Indonesia,DKI Jakarta,Jakarta Barat,PT. INDEKS,2011,Painting and Paintings,Surat Permohonan Buku dan Koleksi,,22-Sep-22,0,Buku Baca
163,AKTIVITAS EKONOMI ORANG-ORANG BUGIS DI KESULTANAN PONTIANAK PADA ABAD KE-19 HINGGA AKHIR MASA KOLONIAL,8783329125,330.09,978-602-391-689-4,330.09 Rah A,Indonesia,Any Rahmayani,,Veni Putri,,,Indonesia,DI Yogyakarta,Yogyakarta,DIVA Press,2018,Economic Situation and Conditions,Surat pertemuan koleksi & buku,,26 Oktober 2022,0,Sejarah
164,Aku Bahagia Meski Hariku Tak Selalu Sempurna,4147333122,155.25,978-623-0308-05-5,155.25 Ddo A,Indonesia,Ahn Ddoy,Diastika Cahya Sari,Yoke Yuliana,,,Indonesia,DKI Jakarta,Jakarta,Kompas Gramedia,2022,Character Development ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Baca
165,"Aku Gelisah, Aku Bertanya, Islam Menjawab ",7841331124,297,978-602-18855-7-4,297/sha/a,Indonesia,Abdullah Shahab,,,,,Indonesia,Jawa Timur,Sidoarjo,Bantam Books ,2014,"Islam Bahism, Bahai Failh",Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
166,Aku Ingin Pulang meski Sudah di Rumah,5989340124,155.25,978-623-7351-82-5,155.25 Rab A,Indonesia,Kwon Rabin,Dewi Ayu Ambar Rani,Lovita Cendana dan Lia Indra Andriana,,,Indonesia,Jawa Timur,Ponorogo,PT Haru Media Sejahtera,2021,Character Development,surat permohonan buku dan koleksi ,,26 Oktober 2022,0,Psikologi
